player_id,player_name,team_shortname,sprinting_events,avg_sprint_duration_secs,med_sprint_duration_secs,avg_sprint_distance_metres,total_sprint_distance_metres,passes,pass_success_pct,avg_pass_distance_m,avg_xthreat_targeted,pct_forward_passes,pct_lead_to_shot,shots,goals,conversion_pct,header_rate_pct,avg_shot_distance_m
51015,A. Rufer,Wellington P FC,,,,,,95,80.0,11.44,0.008,51.6,3.2,2,0,0.0,0.0,19.99
51028,S. Sutton,Wellington P FC,8,4.3,3.2,31.96,255.64,75,81.3,13.38,0.01,48.0,1.3,1,0,0.0,0.0,17.79
51043,H. Van Der Saag,Brisbane FC,1,3.2,3.2,25.55,25.55,51,72.5,17.12,0.007,35.3,2.0,1,0,0.0,0.0,25.68
51051,C. Talbot,Melbourne City,2,2.3,1.4,17.36,34.71,56,80.4,14.49,0.006,39.3,1.8,2,0,0.0,0.0,22.88
51644,R. Grant,Sydney FC,7,1.71,1.4,12.81,89.65,96,81.3,13.72,0.013,50.0,1.0,1,0,0.0,0.0,10.85
51646,J. Yull,Adelaide United,2,3.0,1.2,21.74,43.48,24,87.5,10.48,0.008,25.0,4.2,1,0,0.0,0.0,25.11
51649,A. Šušnjar,Newcastle,,,,,,63,84.1,15.92,0.001,54.0,1.6,1,0,0.0,0.0,35.55
51667,D. Hall,Auckland FC,5,0.6,0.0,4.76,23.8,209,83.7,16.97,0.001,47.8,0.5,1,0,0.0,0.0,11.77
51668,A. Kuol,CC Mariners,7,2.7,2.5,19.26,134.83,4,75.0,12.49,0.043,0.0,25.0,1,0,0.0,0.0,22.84
51681,S. Ugarković,Melbourne City,2,1.8,0.5,11.94,23.88,32,84.4,11.39,0.006,28.1,0.0,2,0,0.0,0.0,22.61
51686,A. Goodwin,Adelaide United,2,1.2,0.0,8.44,16.88,5,40.0,10.31,0.066,0.0,0.0,2,0,0.0,0.0,14.33
51722,J. Hingert,Brisbane FC,2,3.55,2.8,25.82,51.64,27,85.2,14.34,0.013,33.3,0.0,1,0,0.0,100.0,9.19
104563,N. Atkinson,Melbourne City,8,2.93,2.0,21.23,169.85,98,87.8,13.01,0.007,42.9,4.1,1,0,0.0,0.0,14.46
114464,G. Ferreyra,Melbourne City,2,1.45,0.0,9.8,19.59,83,89.2,16.7,0.004,50.6,1.2,2,0,0.0,50.0,9.81
133495,C. Howieson,Auckland FC,1,5.2,5.2,37.82,37.82,25,96.0,12.47,0.004,32.0,0.0,2,0,0.0,50.0,15.89
133852,C. Hollman,Sydney FC,,,,,,52,84.6,10.95,0.004,32.7,3.8,1,0,0.0,0.0,18.15
133853,J. Kucharski,Sydney FC,10,2.19,2.1,15.63,156.33,14,64.3,10.89,0.033,57.1,14.3,3,0,0.0,0.0,27.88
157294,R. Teague,Melbourne V FC,1,5.1,5.1,35.5,35.5,71,88.7,11.18,0.006,42.3,4.2,1,0,0.0,0.0,21.67
159688,J. Valadon,Melbourne V FC,,,,,,76,85.5,12.86,0.008,55.3,5.3,2,0,0.0,0.0,23.16
159941,M. Tilio,Melbourne City,7,2.49,3.4,18.74,131.17,33,81.8,12.24,0.025,21.2,6.1,2,0,0.0,0.0,17.93
163972,M. Mata,Auckland FC,2,2.05,1.1,14.45,28.9,19,57.9,12.75,0.024,21.1,5.3,2,0,0.0,50.0,10.6
560893,E. Alagich,Adelaide United,,,,,,51,84.3,12.41,0.006,43.1,3.9,1,0,0.0,0.0,24.24
560895,Isaias,Adelaide United,1,5.3,5.3,38.64,38.64,22,81.8,11.84,0.005,36.4,4.5,1,0,0.0,0.0,13.56
560917,R. Bozinovski,Western United,5,1.54,1.2,11.51,57.56,64,75.0,12.08,0.012,29.7,0.0,1,0,0.0,0.0,21.72
560986,K. Jelacic,Brisbane FC,2,2.35,1.4,16.36,32.72,36,77.8,10.44,0.02,13.9,8.3,1,0,0.0,0.0,24.89
560992,D. Wilmering,Newcastle,1,0.2,0.2,2.83,2.83,11,72.7,16.27,0.009,27.3,0.0,1,0,0.0,0.0,21.91
582974,M. Francois,Auckland FC,9,3.74,3.8,26.03,234.28,32,68.8,7.66,0.02,28.1,9.4,1,0,0.0,0.0,32.04
698137,I. Hughes,Wellington P FC,3,3.37,3.3,24.32,72.96,88,80.7,16.73,0.001,45.5,1.1,2,0,0.0,0.0,20.94
735578,M. Natta,Newcastle,,,,,,54,88.9,14.69,0.003,57.4,0.0,1,0,0.0,100.0,31.9
745320,Clarismario Rodrigues,Melbourne V FC,5,3.58,3.5,26.67,133.37,9,55.6,11.36,0.01,55.6,11.1,1,0,0.0,0.0,22.33
795505,E. Adams,Newcastle,1,3.4,3.4,24.41,24.41,24,66.7,9.38,0.008,33.3,4.2,3,0,0.0,0.0,22.02
795506,C. Taylor,Newcastle,3,2.43,2.3,15.64,46.91,3,100.0,8.48,0.011,33.3,0.0,1,0,0.0,0.0,17.2
795515,W. Wilson,CC Mariners,3,3.07,2.5,21.41,64.24,5,80.0,8.0,0.009,0.0,0.0,2,0,0.0,0.0,19.22
795530,N. Pennington,Perth Glory,,,,,,37,89.2,11.58,0.01,51.4,5.4,1,0,0.0,100.0,9.82
795541,Q. MacNicol,Brisbane FC,2,1.4,0.8,9.87,19.74,5,80.0,17.77,0.029,40.0,0.0,1,0,0.0,0.0,16.2
795547,Z. de Jesus,Sydney FC,1,6.2,6.2,44.47,44.47,40,82.5,12.29,0.006,25.0,2.5,1,0,0.0,0.0,17.32
797295,L. Jovanovic,Adelaide United,2,1.85,0.7,12.91,25.81,6,83.3,9.12,0.077,0.0,16.7,1,0,0.0,0.0,8.25
797298,A. Zimarino,Brisbane FC,1,1.2,1.2,8.74,8.74,16,75.0,12.27,0.018,31.3,6.3,4,0,0.0,25.0,15.19
799092,M. Sheridan,Wellington P FC,5,3.94,2.5,28.61,143.06,64,64.1,11.5,0.003,39.1,1.6,2,0,0.0,0.0,17.34
800322,J. Inserra,Melbourne V FC,6,3.65,4.1,27.53,165.21,39,76.9,20.24,0.006,48.7,2.6,1,0,0.0,0.0,22.28
809166,A. Lebib,Perth Glory,,,,,,43,83.7,15.21,0.001,55.8,0.0,1,0,0.0,0.0,30.57
809759,P. Kikianis,Adelaide United,1,3.6,3.6,26.99,26.99,54,85.2,17.12,0.004,70.4,1.9,1,0,0.0,0.0,8.62
810406,C. Shamoon,Western United,,,,,,12,58.3,18.05,0.005,58.3,16.7,1,0,0.0,0.0,27.31
811820,K. Bos,Melbourne V FC,4,3.85,2.6,25.4,101.61,95,82.1,13.24,0.008,33.7,9.5,3,0,0.0,0.0,20.9
818554,A. Walatee,Western United,6,3.27,2.8,22.74,136.46,4,75.0,10.58,0.055,25.0,25.0,1,0,0.0,0.0,16.6
963054,K. Rahmani,Melbourne City,1,4.7,4.7,33.03,33.03,28,78.6,9.91,0.016,21.4,3.6,2,0,0.0,0.0,12.67
965684,L. Toomey,Auckland FC,,,,,,10,90.0,10.15,0.017,70.0,20.0,1,0,0.0,0.0,25.44
965685,L. Gillion,Auckland FC,16,2.86,2.5,21.07,337.07,63,79.4,9.46,0.022,25.4,11.1,4,0,0.0,0.0,20.3
